Date,Close,High,Low,Open,Volume,MA5,MA20,Daily_Return,Volatility,RSI14,Target
2015-04-06,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,8514.1701171875,8615.79013671875,0.00857771327704171,0.010941154054578654,50.752115134911634,1
2015-04-07,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,8577.95,8601.917626953125,4.612224673294918e-05,0.010605090672647283,51.710634967320665,1
2015-04-08,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,8622.3701171875,8599.800146484375,0.006246964557533818,0.010644461320907425,49.4125791725701,1
2015-04-09,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,8679.830078125,8603.112646484375,0.007332623152276119,0.010716775292793785,55.89282711459054,1
2015-04-10,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,8718.65,8607.1326171875,0.0002335081659441407,0.010657377217087639,59.91422503501968,1
2015-04-13,8834.0,8841.650390625,8762.099609375,8801.75,121600,8753.469921875,8610.0326171875,0.006110279546012176,0.006009020451369219,68.15233151684697,0
2015-04-16,8706.7001953125,8760.0,8645.650390625,8757.0498046875,142900,8762.75,8612.980126953125,-0.014410211080767454,0.008673839610882238,59.36298002152665,0
2015-04-17,8606.0,8699.849609375,8596.7001953125,8698.0498046875,150400,8741.069921875,8611.622607421876,-0.01156582781691673,0.008514377877013202,53.40902250716252,0
2015-04-20,8448.099609375,8619.9501953125,8422.75,8618.7998046875,148900,8675.0298828125,8597.86259765625,-0.01834770981001632,0.010570305200364763,46.137306363580805,0
2015-04-21,8377.75,8469.349609375,8352.7001953125,8416.099609375,407800,8594.5099609375,8582.455078125,-0.008327270348106652,0.00996140524256464,51.86933619950525,1
2015-04-22,8429.7001953125,8449.9501953125,8284.7001953125,8400.400390625,171800,8513.65,8572.207568359376,0.006200972255378856,0.009694893557475341,54.400032701334624,0
2015-04-23,8398.2998046875,8504.9501953125,8361.849609375,8478.2001953125,156000,8451.969921875,8563.5775390625,-0.0037249712205020824,0.00965169929417735,44.682658759007154,0
2015-04-24,8305.25,8413.2998046875,8273.349609375,8405.7001953125,173600,8391.819921875,8551.29501953125,-0.011079600258562361,0.00935282651871892,40.48070898218936,0
2015-04-27,8213.7998046875,8334.4501953125,8202.349609375,8330.5498046875,171500,8344.9599609375,8534.8375,-0.011011130948797465,0.008475808703142457,30.83809380259754,1
2015-04-28,8285.599609375,8308.0,8185.14990234375,8215.5498046875,174600,8326.5298828125,8522.577490234375,0.008741362876475867,0.009590756153773807,30.706145296391753,0
2015-04-29,8239.75,8308.2001953125,8219.2001953125,8274.7998046875,160400,8288.53984375,8517.457470703124,-0.005533650132347967,0.00865297589010848,29.292445526682002,0
2015-04-30,8181.5,8229.400390625,8144.75,8224.5,267700,8245.1798828125,8509.462451171876,-0.007069389241178392,0.008247476304910626,23.867173656938718,1
2015-05-04,8331.9501953125,8346.0,8220.4501953125,8230.0498046875,131700,8250.519921875,8501.444970703125,0.01838907233545184,0.011038288882223331,29.82418967809602,0
2015-05-05,8324.7998046875,8355.650390625,8280.599609375,8338.400390625,155500,8272.719921875,8493.1349609375,-0.0008581893143123631,0.009667848341549911,29.502838949276793,0
2015-05-06,8097.0,8331.9501953125,8083.0,8316.599609375,209600,8235.0,8468.6724609375,-0.02736399793773192,0.012605419547425802,21.331889838556506,0
2015-05-07,8057.2998046875,8122.60009765625,7997.14990234375,8077.0,161600,8198.5099609375,8438.542431640624,-0.004903074634123761,0.012153433067844357,22.891969984052807,1
2015-05-08,8191.5,8224.9501953125,8123.4501953125,8131.5,183100,8200.5099609375,8415.10244140625,0.01665572816769534,0.013873996119961336,33.16820689502019,1
2015-05-11,8325.25,8332.75,8224.650390625,8243.2001953125,192000,8199.169921875,8395.644921875,0.01632790087285607,0.014654736760093526,44.91158639681196,0
2015-05-12,8126.9501953125,8326.650390625,8115.2998046875,8326.150390625,173400,8159.6,8363.07744140625,-0.02381908107113906,0.01623164080504887,40.60745657184362,1
2015-05-13,8235.4501953125,8254.9501953125,8089.7998046875,8181.5498046875,169800,8187.2900390625,8335.832470703124,0.013350641678914421,0.01659851161607526,43.02087646047507,0
2015-05-14,8224.2001953125,8236.25,8137.2998046875,8232.4501953125,134800,8220.6701171875,8305.34248046875,-0.0013660455388829762,0.01650967437693649,43.65294898377688,1
2015-05-15,8262.349609375,8279.2001953125,8212.2001953125,8240.2998046875,129800,8234.8400390625,8283.124951171874,0.004638677701966021,0.01637238335992235,48.370788267005295,1
2015-05-18,8373.650390625,8384.599609375,8271.9501953125,8284.9501953125,148700,8244.5201171875,8271.507470703125,0.013470838987944989,0.01586138551107602,55.9804168721799,0
2015-05-19,8365.650390625,8427.7998046875,8335.0,8356.2001953125,140300,8292.26015625,8267.385009765625,-0.0009553778372400901,0.01586241709732901,53.14504210424542,1
2015-05-20,8423.25,8440.349609375,8391.4501953125,8392.650390625,123600,8329.8201171875,8269.660009765625,0.006885251795789804,0.012492293395578934,57.14341109436705,0
2015-05-21,8421.0,8446.349609375,8382.5,8434.5,143800,8369.180078125,8269.225,-0.00026711779894939003,0.01220676597065103,59.748450172591696,1
2015-05-22,8458.9501953125,8489.5498046875,8420.599609375,8432.5,187300,8408.5001953125,8272.25751953125,0.004506613859696085,0.011442287528189682,55.690472064843945,0
2015-05-25,8370.25,8441.9501953125,8364.150390625,8438.150390625,121300,8407.8201171875,8275.50751953125,-0.010485957862909845,0.01118302551491089,51.89779063423338,0
2015-05-26,8339.349609375,8378.900390625,8320.0498046875,8377.099609375,116800,8402.5599609375,8281.785009765625,-0.0036916926764433144,0.007507949486357336,62.110810061645736,0
