model,accuracy,baseline
Logistic Regression,0.5408921933085502,0.5371747211895911
Logistic Regression (balanced),0.48141263940520446,0.5371747211895911
Random Forest,0.4628252788104089,0.5371747211895911
XGBoost,0.49814126394052044,0.5371747211895911
